timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732725062790,1131,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-29,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,1131,0,0
1732725062809,1232,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-20,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,1232,0,0
1732725063070,1113,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-8,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,1113,0,0
1732725060079,4207,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-23,text,true,,5909,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4207,0,0
1732725059810,4475,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-23,,true,,6908,1277,30,30,null,4475,2,0
1732725060095,4216,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-1,text,true,,5740,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4216,0,0
1732725059810,4500,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,6739,1277,30,30,null,4500,1,0
1732725064287,165,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-23,text,true,,999,553,29,29,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,165,0,0
1732725060268,4188,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-6,text,true,,6120,724,29,29,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4188,0,0
1732725059861,4558,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,7119,1277,29,29,null,4558,37,0
1732725060370,4092,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-3,text,true,,6524,724,28,28,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4092,0,0
1732725060115,4346,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,7523,1277,28,28,null,4346,2,0
1732725060485,4014,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-2,text,true,,5737,724,27,27,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4014,0,0
1732725060137,4359,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,6736,1277,27,27,null,4359,5,0
1732725059324,5239,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-21,text,true,,5954,724,26,26,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,5239,0,0
1732725058193,6369,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-21,,true,,6953,1277,26,26,null,6369,1,0
1732725060800,3812,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-7,text,true,,5627,724,26,26,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3812,0,0
1732725060586,4026,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,6626,1277,26,26,null,4026,0,0
1732725060946,3827,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-11,text,true,,4714,724,25,25,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3827,0,0
1732725060604,4167,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-11,,true,,5713,1277,25,25,null,4167,2,0
1732725064564,212,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-21,text,true,,999,553,25,25,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,212,0,0
1732725061485,3390,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-9,text,true,,5529,724,24,24,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3390,0,0
1732725061025,3849,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,6528,1277,24,24,null,3849,2,0
1732725061701,3183,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-16,text,true,,6149,724,23,23,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3183,0,0
1732725061034,3823,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-16,,true,,7148,1277,23,23,null,3822,28,0
1732725061629,3257,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-5,text,true,,6114,724,22,22,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3257,0,0
1732725061032,3854,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,7113,1277,22,22,null,3853,1,0
1732725061958,2938,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-12,text,true,,5654,724,21,21,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,2938,0,0
1732725061082,3812,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-12,,true,,6653,1277,21,21,null,3812,2,0
1732725061981,2916,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-15,text,true,,6047,724,20,20,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,2916,0,0
1732725061083,3814,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-15,,true,,7046,1277,20,20,null,3814,0,0
1732725062294,2638,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-17,text,true,,5428,724,19,19,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,2638,0,0
1732725062008,2924,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-17,,true,,6427,1277,19,19,null,2924,1,0
1732725062507,2460,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-19,text,true,,5880,724,18,18,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,2460,0,0
1732725062317,2650,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-19,,true,,6879,1277,18,18,null,2650,1,0
